"studyName","Topic","Description"
"OGrady2006","Biomass","Each tree was subdivided into it components, of stem, branches, leaf area, fine roots and coarse roots. All material was dried to constant weight in a drying room at 30 deg C. Subsamples of each sample were dried at 65 deg C to constant weight, and a dry weight conversion factor was used to estimate the total dry weight."
"OGrady2006","Year collected","2000-2005"
"OHara1995","Sampling strategy","Sampling in two locations with similar methods. Trees from range of crown class and canopy strata were selected."
"OHara1995","Leaf area","Leaf surface area was estimated with submersion method."
"OHara1995","Other variables"," Sapwood was measured immediately after cutting."
"OHara1995","Year collected","1994"
"OHara2014","Sampling strategy"," A 22-year-old spacing study was used to examine development of leaf area index (LAI) from different initial spacings in giant sequoia. Fifteen trees ages 3 to 36 yrs were dissected to develop leaf area predictions from sapwood cross-sectional area. Tree leaf area and LAI were estimated from three plots per spacing for nine spacing treatments from 2.1 to 6.1 m. Crown width and crown length measurements at 10, 16 and 22 yrs were used to assess crown architecture. Tree leaf area was greatest at low densities."
"OHara2014","Leaf area"," Projected leaf area based on scanned foilage samples; ranged from 1.5 to 50.2 m2."
"OHara2014","Stem cross sectional area"," Cross-sectional area at breast height (1.37m) or base of tree."
"OHara2014","Height"," Sample trees ranged from 0.7 to 29.4m"
"OHara2014","Other variables"," Diameter at breast height (DBH) ranged from 0 to 47.9 cm."
"OHara2014","Year collected","2010"
"Ohtsuka2005","Sampling strategy","The study site is in the Takayama Forest Research Station, Institute for Basin Ecosystem Studies, Gifu University (Ohtsuka et al. 2005). One-hector permanent plot with a flux tower was created in a secondary deciduous broad-leaved forest on a west-facing slope (1395-1425 m a.s.l.). Forest floor was covered by dense dwarf bamboo. In December 1988, 24 trees were felled at the ground level near the plot. Each tree was separated into a stem and branches. There was no leaf because sampling was conducted in winter. Each stem was cut into segments at the height of 0.3 m, 1.3 m, 2.3 m height, and an interval of 2 m upward. For seven of the sampled trees, coarse roots were excavated."
"Ohtsuka2005","Height","Measured by measuring tape after the trees were felled."
"Ohtsuka2005","Biomass","Fresh weights of stem segments, branches, and coarse roots were measured (Ohtsuka et al. 2005). Measured fresh weights were converted to dry weight from the ratio of dry to fresh weights. The ratio was estimated from subsamples of stem segments, branches, and roots which were collected from each sampled tree and were oven-dried at 80 degrees C. For stem subsamples, a disc was collected at 0.3 m, 1.3 m, 2.3 m height, and an interval of 2 m upward. Branches subsamples were collected from several branches for each tree and the averaged ratio was used. For root subsample, a disc was collected at the most basal part of roots."
"Ohtsuka2005","Other variables","Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Osada0000","Sampling strategy","Saplings of Elateriospermum tapos were chosen in the understory of Pasoh forest. Trees of Gamblea innovans and Chengiopanax sciadophylloides were chosen in various light environments in the Kamigamo forest."
"Osada0000","Leaf area","Sample trees were harvested and the number of leaves was counted. Leaf area was measured by a digital scanner in Elateriospermum tapos, and was estimated from total mass of leaves and specific leaf area of leaf discs that were collected randomly."
"Osada0000","Stem cross sectional area","Diameter of the main trunk at 10% of the height was measured for all species, diameter at stem base was measured for Elateriospermum tapos, and diameter at breast height was measured for Gamblea innovans and Chengiopanax sciadophylloides."
"Osada0000","Height","Tree height was measured using an extendible pole for all species."
"Osada0000","Crown area","The width and depth of each crown were measured for Gamblea innovans and Chengiopanax sciadophylloides. Widths were measured at the widest part of the crown and perpendicular to it. The projected area of the crown was calculated as an ellipse based on these two measurements."
"Osada0000","Biomass","Total leaf mass was measured for all species after drying."
"Osada0000","Growth environment","Seventy-eight trees 1.0-2.5 m tall were randomly selected inside the plot, and hemispherical photographs were taken above the apex of these trees with a CoolPix 910 digital camera with an FC-E8 fisheye converter (Nikon, Tokyo, Japan). An indirect site factor (ISF) was calculated with Hemiview ver. 2.1 (Delta-T Devices, Cambridge, UK). "
"Osada0000","Year collected","1997-1999, 2012"
"Osada2003","Sampling strategy","Five individuals of 21.3 - 40.7 m in height were selected in the forest."
"Osada2003","Leaf area","Leaf litter was collected systematically, and dry mass was recorded. Length, width, and dry mass of individual leaves from the dried leaf litter were measured. Fresh harvested leaves were scanned for leaf area using an area meter (AAM-8, Hayashi denko, Tokyo, Japan) and leaf area of the leaves from the leaf litter was estimated using the relationship between area, lenght and width."
"Osada2003","Stem cross sectional area","Diameter at breast height was measured."
"Osada2003","Height","Overall tree heights and lowest leaf heights were calculated using angle-distance measurements to the top of the tree and to the 1.5 m rod using a clinometer (Blume Leiss, Carl Leiss, Berlin). "
"Osada2003","Crown area","Crown widths were measured at the widest part of the crown and perpendicular to it. The projected area of the crown was calculated as an ellipse based on these two measurements."
"Osada2003","Biomass","Standing leaf biomass was calculated by annual leaf litter biomass and mean leaf lifespan for each tree."
"Osada2003","Growth environment","In the natural forest."
"Osada2003","Year collected","1997-1999"
"Osada2005","Sampling strategy","A 30 * 50-m plot was established in the study area.  All R. trichocarpa >0.5 m tall inside this plot were marked, and tree height, diameter of the main trunk at 10% of the height, and the width and depth of each crown were measured. "
"Osada2005","Leaf area","The numbers of branches and leaves were counted. The lengths of the rachis and petiole of all leaves were measured for all trees 0.5-3 m tall and subsampled in trees >3 m tall. Furthermore, 30 leaves were randomly collected, the lengths of the rachis and petiole were measured, and leaf area was calculated by using the image analysis software NIH image."
"Osada2005","Stem cross sectional area","All R. trichocarpa >0.5 m tall inside this plot were marked, and diameter of the main trunk at 10% of the height was measured."
"Osada2005","Height","All R. trichocarpa >0.5 m tall inside this plot were marked, and tree height was measured."
"Osada2005","Crown area","All R. trichocarpa >0.5 m tall inside this plot were marked,and the width and depth of each crown were measured. Widths were measured at the widest part of the crown and perpendicular to it. The projected area of the crown was calculated as an ellipse based on these two measurements. "
"Osada2005","Biomass","Tree height and trunk diameter were measured for 23 trees of various heights (0.6 - 8.2 m) outside the plot, and these trees were harvested to measure the total stem biomass after drying at 70oC. Based on these samples, allometric equations were constructed to estimate the total stem biomass from diameter and height. Furthermore, 30 leaves were randomly collected, the lengths of the rachis and petiole were measured, and leaf area was calculated by using the image analysis software NIH image (National Institute of Health, Maryland, USA) for digitized data of photocopies of the leaves. Mass of the leaf petiole plus rachis was then measured after drying. To convert leaf area to leaf mass, two to three leaflets were collected from trees inside the plots. The area and dry mass of each leaflet were measured, and the mean specific leaf area (SLA) was calculated for each individual tree. "
"Osada2005","Growth environment","Seventy-eight trees 1.0-2.5 m tall were randomly selected inside the plot, and hemispherical photographs were taken above the apex of these trees with a CoolPix 910 digital camera with an FC-E8 fisheye converter (Nikon, Tokyo, Japan). An indirect site factor (ISF) was calculated with Hemiview ver. 2.1 (Delta-T Devices, Cambridge, UK). "
"Osada2005","Year collected","2000"
"Osunkoya2007","Sampling strategy"," All trees > 5 cm in diameter in a 1 ha permamant plot were sampled."
"Osunkoya2007","Stem cross sectional area","Tree diameter at breast height determined, using diameter tapes."
"Osunkoya2007","Height","Tree height determined using clinometers. Crown depth  is the difference between tree height and fork height. Fork height itself is defined as distance between the stem base and the lowest major brach"
"Osunkoya2007","Crown area","Crown diameter  were measured in four directions, and crown projection area estimated as a function of tree fork and crown heights and crown width; see Osunkoya et al 2007 for details."
"Osunkoya2007","Growth environment","Mixed dipterocarp rainforest."
"Osunkoya2007","Year collected","2004"
"Osunkoya2007","Acknowledgements","P. Becker initially set up the permanent plots used"
"Parviainen1999","Sampling strategy","12 dominant Silver birch trees were sampled from 7 mixed stands with minimum 10% birch mixture.  The trees were chosen to represent a continuum of tree height. The measurements were done in August 1996."
"Parviainen1999","Leaf area","Leaf area estimate was based on leaf biomass (see below) and specific leaf area. SLA (projected) was measured on sample leaves  (12.65 m2/kg)."
"Parviainen1999","Stem cross sectional area","Stem cross sectional area was determined from sample disks taken at breast height (1.3 m) and at crown base. The cross section was calculated as a circle with radius equalling the average of the largest diameter and that perpendicular to it."
"Parviainen1999","Height","Height was measured using a tape measure on the felled trees that had been felled with minimum possible stump."
"Parviainen1999","Crown area","Before felling, the width of the crown was measured at the widest diameter and the one perpendicular to that. Crown area was calculated as an ellipsoid from mean crown width and crown length."
"Parviainen1999","Biomass","Branches were sampled systematically, taking each nth branch from the top to the bottom of the crown such that the total nr of sample branches was 10. Discs were taken from the stem at a number of heights, all including breast height and crown base. Tree-wise regression models were developed for the sample branches to estimate leaf and branch dry mass from branch diameter and distance from the tree top, which were measured from all live branches in the crown. Stem volume was calculated from the logs between the disc measurement heights by assuming the logs as cut cones. The volume was converted to stem biomass using wood density of the lower disc of each log, obtained by weighing and immersion of the disc."
"Parviainen1999","Traits","SLA = 12.6"
"Parviainen1999","Year collected","1996"
"Peri0000","Sampling strategy","Three plots (replicates) of 15 x 30 m were randomly located at each study area. Within each plot, five individuals of dominant shrub, corresponding to different sizes were randomly selected. Then, the individuals were classified in different size classes to test, for the size effect on plant biomass, carbon and nutrient concentration, and nutrient allocation in plant components."
"Peri0000","Leaf area"," Leaf area (LA) of each individual size was determined by scanning the total harvested leaves per plant. The leaves were spread randomly over a transparent sheet and then scanned using a flat-bed scanner. The leaf area was determined using image analysis software (DT-Scan, Delta-T Ltd., Cambridge, UK)."
"Peri0000","Height"," Before harvesting height was measured with a tape."
"Peri0000","Crown area"," Before harvesting, crown dimensions (the crown length at its widest point, CL; the perpendicular crown extent at the same height, CW) of each plant was measured. Crown area (CA) was calculated as CA = 3.1416 x CL/2 x CW/2."
"Peri0000","Biomass"," Each plant was harvested during the spring growth period (November-December) corresponding to the vegetative growth peak and summer (January-February). Then, shrub plants were separated into the following components: green leaves; senesced leaves; twigs (1-2 years old); branches (> 2 years old) and roots classified as fine (diameter <1.0 mm), medium (1.0-5.0 mm) and coarse (> 5.0 mm) roots for biomass calculations and nutrient analysis. Roots from individual plants were excavated to maximum rooting depth for all size classes in circular plots centred on the base of selected plants. These roots were sorted in diameter class and weighed in fresh. Sub samples were taken for oven drying to estimate biomass."
"Peri0000","Traits"," Samples of components were dried in a forced draft oven at 65degC to constant weight and ground in a mill containing 1 mm stainless steel screen for nutrient analysis. Nitrogen (N) content was determined using the semi-micro Kjeldahl technique."
"Peri0000","Growth environment"," Senecio filaginoides shrub plants were taken from a grass shrub steppe with vegetation dominated by F. pallescens (30-40%) associated with J. chrysophylla, B. setifolius, C. andina, J. tridens and Acaena poeppigiana. Climate is cold temperate and subhumid with a mean annual temperature of 7.6degC, a long-term annual rainfall of 281 mm evenly distributed throughout the year and potential evapotranspiration ranges between 4 and 6 mm/d in summer. The predominant wind direction is from the south-southwest quarter. Severe and frequent windstorms occur in spring and summer, with windspeeds over 120 km/h."
"Peri0000","Year collected","2008"
"Peri2008","Sampling strategy"," Two study areas of 60 km2 (10 x 6 km) were selected representing main ecosystems for the studied dwarf-shrub species, grown at the ecological area of Magellanic steppe in Santa Cruz province, southern Patagonia, Argentina. Three plots (replicates) of 15 x 30 m were randomly located at each study area. Within each plot, five individuals of dominant dwarf-shrub corresponding to different sizes were randomly selected."
"Peri2008","Leaf area"," Leaf area (LA) of each individual size was determined by scanning the total harvested leaves per plant. The leaves were spread randomly over a transparent sheet and then scanned using a flat-bed scanner. The leaf area was determined using image analysis software (DT-Scan, Delta-T Ltd., Cambridge, UK)."
"Peri2008"," Height"," Before harvesting height was measured with a tape."
"Peri2008","Crown area"," Before harvesting, crown dimensions (the crown length at its widest point, CL; the perpendicular crown extent at the same height, CW) of each plant was measured. Crown area (CA) was calculated as CA = 3.1416 x CL/2 x CW/2."
"Peri2008","Biomass"," Then, dwarf-shrub plants were separated into the following components: green leaves; senesced leaves; stem and roots classified as fine (diameter <1.0 mm) and coarse (> 1.0 mm). All components from each sampled plant were weighed fresh. Roots from individual plants were excavated to maximum rooting depth for all size classes in circular plots centred on the base of selected plants. Sub samples were taken for oven drying to estimate biomass."
"Peri2008","Traits"," Samples of components were dried in a forced draft oven at 65degC to constant weight and ground in a mill containing 1 mm stainless steel screen for nutrient analysis. Nitrogen (N) content was determined using the semi-micro Kjeldahl technique."
"Peri2008","Growth environment"," Nardophyllum bryoides dwarf-shrub plants were sampled from a dwarf-shrub grass steppe with vegetation dominated by Festuca gracillima (25-35%) and N. bryoides (20-25%) associated with Nassauvia ulicina, J. chrysophylla, Bromus setifolius, Carex andina, Colobanthus subulatus and J. tridens Nassauvia ulicina dwarf-shrub plants were sampled from a grass steppe with vegetation dominated by F. gracillima (20-30%) associated with J. chrysophylla, B. setifolius, C. andina, N. bryoides, Berberis microphylla and Perezia recurvata. Climate is cold temperate and subhumid with a mean annual temperature of 5.5-7.5degC, a long-term annual rainfall of 175-202 mm evenly distributed throughout the year."
"Peri2008","Year collected","2007"
"Peri2011","Sampling strategy"," Three plots (replicates) of 15 x 30 m were randomly located at each study area. Within each plot, five individuals, of dominant shrub corresponding to different sizes were randomly selected."
"Peri2011","Leaf area"," Leaf area (LA) of each individual size was determined by scanning the total harvested leaves per plant. The leaves were spread randomly over a transparent sheet and then scanned using a flat-bed scanner. The leaf area was determined using image analysis software (DT-Scan, Delta-T Ltd., Cambridge, UK)."
"Peri2011","Height"," Before harvesting height was measured with a tape."
"Peri2011","Crown area"," Before harvesting, crown dimensions (the crown length at its widest point, CL; the perpendicular crown extent at the same height, CW) of each plant was measured. Crown area (CA) was calculated as CA = 3.1416 x CL/2 x CW/2."
"Peri2011","Biomass"," Each plant was harvested during the spring growth period (November-December) corresponding to the vegetative growth peak and summer (January-February). Then, shrub plants were separated into the following components: green leaves; senesced leaves; twigs (1-2 years old); branches (> 2 years old) and roots classified as fine (diameter <1.0 mm), medium (1.0-5.0 mm) and coarse (> 5.0 mm) roots for biomass calculations and nutrient analysis. Roots from individual plants were excavated to maximum rooting depth for all size classes in circular plots centred on the base of selected plants. These roots were sorted in diameter class and weighed in fresh. Sub samples were taken for oven drying to estimate biomass."
"Peri2011","Traits"," Samples of components were dried in a forced draft oven at 65degC to constant weight and ground in a mill containing 1 mm stainless steel screen for nutrient analysis. Nitrogen (N) content was determined using the semi-micro Kjeldahl technique."
"Peri2011","Growth environment"," Junellia tridens shrub plants were collected from a shrub steppe with vegetation dominated by J. tridens (50-60%) associated with Jarava chrysophylla, Poa dusenii, Satureja darwinii and Nassauvia aculeata. Climate is cold temperate and subhumid with a mean annual temperature of 7.5degC, a long-term annual rainfall of 180 mm evenly distributed throughout the year and potential evapotranspiration ranges between 4 and 5 mm/d in summer. The predominant wind direction is from the south-southwest quarter. Severe and frequent windstorms occur in spring and summer, with windspeeds over 120 km/h. Soils were coarse textured classified as Molisols."
"Peri2011","Year collected","2007"
"Petritan2009","Sampling strategy","A sample of N = 41-44 individual trees per species was randomly recorded, free of apparent damage, growing under a wide gradient of light conditions."
"Petritan2009","Leaf area","Each sapling was divided into five horizontal layers of equal height (=1/5 of total length). A subsample of 50 randomly chosen leaves  per layer (when the number was less, we took all leaves) was used for leaf area measurements with the LI-3100 Area Meter (LI-COR, Inc. 1987) and subsequent drying (at 70 C for 3 days) and weighing. For all other leaves, only dry weights were determined. Using the ratio of leaf weight to  leaf area of the subsamples, we calculated for each layer the area of the rest of the leaves. The sum of the leaf areas of the individual layers made up the total leaf area of the sapling"
"Petritan2009","Stem cross sectional area","Stem cross sectional area:replace please with (stem area at base) = pi x diameter (at 10 cm above ground) x diameter (at 10 cm above ground) / 4."
"Petritan2009","Height","is total height, measured with a tape to the nearest centimeter"
"Petritan2009","Crown area","Crown area: is the projected crown area, that was computed an ellipse area (the product of the two crown diameters with pi, divided by 4). The two crown diameters were recorded at the height of the maximal crown width (in N-S and W-E orientation)."
"Petritan2009","Biomass","we used only leaf mass, that was obtained by drying and weighing."
"Petritan2009","traits","Specific leaf area (SLA in cm2 g-1) is ratio of total leaf area to leaf dry weight. Leaf area index (LAI in cm2 cm-2) as ratio of total leaf area to projected crown area ."
"Petritan2009","Growth environment","FW; The study was carried out in a mixed deciduous stand with an overstory of 120-year-old beech and some trees of hornbeam (Carpinus betulus), ash, maple, Norway maple (Acer platanoides), and sessile oak (Quercus petraea)."
"Petritan2009","Other variables","Light availability was quantified by taking a hemispherical photo just above the uppermost leaves of every sampled sapling in mid-summer with a Nikon digital camera with fisheye lens and a self-leveling mount. Photos were processed with the Winscanopy software (Regents Instruments Inc., Sainte-Foy, Que?bec 2003). As a measure of light intensity, we used the indirect site factor (ISF) in percent of above canopy light, which is based on diffuse radiation. Under our conditions, this measure proved as a reliable proxy of total growing seasons photosynthetically active radiation as ISF and total site factor (including diffuse and direct radiation) were strongly correlated with R2 = 0.94 and p<0.001."
"Poorter1999","Sampling strategy","A growth experiment was carried out using 15 rainforest tree species. The species were grown in shade houses representing 6 light levels (3, 6, 12, 25, 50 and 100% of full light) in Riberalta, Bolivia (11 degrees S, 66 degrees W). Seedlings were germinated from seed, or collected as wildings in the forest. The seedlings were aclimated for 15 weeks (range 2-36) to the shade house before a first harvest (on average 8 seedlings per species) was carried out. A second harvest (on average 10 seedlings per species) was carried out after 23 weeks (range (12-29). The experiment was carried out in 3 batches. Plants were grown in 5 l bags."
"Poorter1999","Leaf area","For each sapling, the total leaf area and average individual leaf area were measured using photocopied images or a leaf area meter."
"Poorter1999","Stem cross sectional area","Stem diameter was measured at the stem base using a calliper."
"Poorter1999","Height","Height was measured as the vertical distance from the ground to the highest apex."
"Poorter1999","Crown area","Crown width was measured at perpendicular right angles including the widest width. Projected area and volume were estimated by assuming a circle and using the average crown diameter."
"Poorter1999","Crown length","Crown length was measured as the difference between the height and the insertion point of the lowest leaf."
"Poorter1999","Biomass","Saplings were divided into root, stem, branches and petioles, and leaf lamina. Each compartment was dried to constant weight and weighed. Leaf petioles were not included in Total leaf mass. All parts of the saplings were weighed after being oven-dried at 70degC for at least 48 h."
"Poorter1999","Traits","LMA was calculated using a flatbed scanner or video imaged photocopies, for all leaves, wood density was calculated as (stem + branch [if present]+ petiole mass) over stem volume."
"Poorter1999","Year collected","1994-1996"
"Portsmuth2005","Sampling strategy","2005 paper 'Biomass allocation and growth rates in Pinus sylvestris are interactively modified by nitrogen and phosphours availabilities and by tree size and age' in the journal 'Canadian Journal of Forest Research'"
"Portsmuth2005","Leaf area","Total leaf area for each needle age-class (current, 1 year, 2 year) was calculated as the total dry mass of the needles in a specific age class divided by the age-class specific estimate of LMA. Individual needle areas were calculated from needle length and circumference, assuming a needle cross section geometry as a half-ellipse."
"Portsmuth2005","Stem cross sectional area","trunk diameter from soil level cm measured with caliper"
"Portsmuth2005","Height","trunk height cm from soil level to the trunk top"
"Portsmuth2005","Biomass","ALL DRY MASS at least 48 H at 75oC"
"Portsmuth2005","Traits","projected leaf area from above (cm2) - measured from photograph taken above the tree; projected leaf area from side (cm2) measured from the photograph taken from the side of the tree; projected trunk area from above (cm2)-measured from photograph taken above the tree; projected trunk area from side (cm2) measured from the photograph taken from the side of the tree; projected crown area from above (cm2) measured from photograph taken above the tree leaves and woody parts together; projected crown area from side (cm2) measured from the photograph taken from the side of the tree -leaves and woody parts together; coarse root N% - method described in paper."
"Portsmuth2005","Growth environment","Field, wild"
"Portsmuth2005","Year collected","2000"
"Portsmuth2005","Acknowledgements","Estonian Science Foundation (grant 5702) and the Estonian Ministry of Education and Science (grant 0182468As03)"
"Portsmuth2006","Sampling strategy","Two species  Betula pendula and B. pubescens seedlings were grown in 4 different light (Light: 1- 100%, 2 - 34%, 3- 10%, 4- 5% of full sunlight) and nutrient (Nutrition: - A-control, B-low, C-medium, D-high (concentrations in the article)) availabilities."
"Portsmuth2006","Leaf area","All leaves were harvested and scanned fresh for leaf area using a flatbed scanner."
"Portsmuth2006","Stem cross sectional area","diametr at soil level: measured with caliper."
"Portsmuth2006","Height","Seedling height: height of seedling trunk from soil level to the top."
"Portsmuth2006","Biomass","ALL DRY MASS at least 48 h at 75oC."
"Portsmuth2006","Growth environment","Shade house."
"Portsmuth2006","Year collected","1999-2000"
"Portsmuth2006","Acknowledgements","Estonian Science Foundation (grant 5702) and the Estonian Ministry of Education and Science (grant 0182468As03), the Estonian Academy of Sciences, and the Estonian National Culture Foundation"
"Reid2004","Sampling strategy","Within the gregg burn, an equal number of 'good' and 'poor' stands were identified from field reconnaissance based on the height of the stand (taller = good, shorter = poor). These categories were confirmed by estimating site index, with 'good' sites having a mean SI50 of 15 and 'poor' sites having an average SI50 of 10. At each stand 4 circular plots were randomly located and dbh of all trees within the plot measured. Of the 4 plots one was randomly selected for sampling. Trees were identified as Dominant, Co-dominant or suppressed based on their position in the canopy, and one of each class randomly selected for sampling at each site."
"Reid2004","Leaf area","The crown of each sampled tree was collected and transported to the lab. A random sample of needles from the upper, middle and lower parts of the crown were subsampled for determination of leaf area. Subsamples were scanned fresh and then dried and weighed to determine specific leaf area for each tree.The rest of the crown was dried at 78oC until the mass stabilized and then mass recorded. Leaf area was determined by multiplying the dry mass by specific leaf area of the corresponding scanned subsample."
"Reid2004","Stem cross sectional area","Estimated from dbh measured with a diameter tape using the formula for the area of a circle."
"Reid2004","Height","Measured using a clinometer and 50m tape in the field before felling. Crown length was measured using a tape after sampled trees were felled, and used to determine height to the crown base."
"Reid2004","Crown area","After felling crown width was measured on felled trees."
"Reid2004","Biomass","The freshweight of all needles was measured. Subsamples were collected and dried at 78oC until constant weight."
"Reid2004","Growth environment","All trees were sampled from wild stands that developed following the Gregg Burn in 1956. Most trees (status 0-3) were sampled from plots located at least 100m from the edge created by the nearby forest access road.  There are 15 trees (status=4) that were more or less open grown as they were selected from the edge of the road."
"Ribeiro2011","Sampling strategy","Ten plots of 20 m x 25 m (0.05 ha) were established in a systematic grid over the forest area. The plots were separated 200 m from each other along two transect lines. On these sample plots, for all trees with DBH >5 cm the girth was tape measured, the tree height was visually estimated by experienced field crews in 0.5 m classes and species was identified."
"Ribeiro2011","Stem cross sectional area"," The stem cross sectional area (g) was calculated as follows:  g=(PI * DAP2)/40000, where dbh is in cm and g in m2."
"Ribeiro2011","Height"," Total tree height was visually estimated by experienced field crews in 0.5 m classes."
"Ribeiro2011","Biomass"," Selection of sample trees for aboveground biomass determination was prepared on the basis of data from the inventory, proportional to the species contribution to total basal area. A number of 120 trees from 18 species were destructively sampled and partitioned into the components: leaves, branches and bole. Belowground biomass was estimated per area by subsampling on 10 sample plots. Fresh weight and dryweight after drying at 70oC were recoded."
"Ribeiro2011","Wood density"," Two wood samples were taken from each stem disk on opposite sides. Each wood sample was volume measured by water displacement and weighed after oven drying at between 101-105 degC until weight stabilized. The basic wood density for one wood disk was calculated as an average of the two measurements per disk."
"Ribeiro2011","Wood mass"," Stem and branches were cut in appropriately sized pieces and weighed together using a standard balance of 150 kg capacity and 100 g division. A stem wood disk was taken from each harvested tree to determine fresh weight to dry weight relation."
"Ribeiro2011","Leaf mass"," All leaves of single trees were collected manually and fresh weight was recorded. A composite sample of leaves was manually collected for each individual and weighed to determine fresh weight to dry weight relation."
"Ribeiro2011","Growth environment"," The Cerrado remnant where this study took place can be classified as cerrado sensu stricto tipico. This phytophisionomy is characterized by high species richness of shrubs and trees with mean height of about 3-6 m and tree cover of 20-50%. In the whole study site there was no clear evidence of any recent anthropogenic disturbance."
"Ribeiro2011","Year collected","2009"
"Roberts2003","Sampling strategy","Seventy-three 15-yr-old Pinus taeda trees representing eight half-sib families and an unimproved check were destructively sampled from a single planting block with trees planted on a 1.5m x 3.0m spacing. Only data from 65 trees were included in the 2003 manuscript. Trees were selected from across the range of trees sizes in the block. Allocation patterns of aboveground biomass components were examined. Allometric relationships for estimating leaf area were developed and tested for family differences."
"Roberts2003","Leaf area"," From the crowns of harvested trees, all live branches were removed from each 1-meter section and separated into current year foliage and sub-tending twigs, and previous years foliage and twigs. The total fresh weight of each of the components was recorded. A random subsample of each component was weighed fresh and retained for laboratory analysis. Approximately 20 needle fascicles from both current-year and second-year foliage were collected from each crown section and returned to the lab for determination of specific leaf area (SLA). In the laboratory, subsamples were dried to a constant weight and weighed to determine fresh mass:dry mass ratios for each component in each section. Foliage was separated from twigs to determine foliage mass:wood mass ratios for each component in each section. The fresh needle samples were separated from the fascicle sheaths and projected area was determined with an optical planimeter. The samples were then dried to constant weight and weighed to determine SLA (cm2/g). Using fresh mass:dry mass ratios, foliage mass:wood mass ratios, and SLA, a projected leaf area for both current-year and second-year foliage was calculated for each 1-m crown section. Section totals were summed to get total crown LA."
"Roberts2003","Stem cross sectional area"," Stem cross sectional areas were determined from stem diameters taken at stump height (0.3 m), 1 m, 1.37 m, and every 1 m interval up the stem. Stem diameters were measured using a diameter tape."
"Roberts2003","Height"," Stem heights were measured on standing trees prior to felling using a clinometer to measure from the base of the stem to the tallest point on the stem. Stem height was measured again after felling by stretching a tape along the length of the stem."
"Roberts2003","Crown area"," Crown projection area (CPA), the horizontal area of crown coverage, was calculated as the area of a circle with a diameter equal to mean crown width. Prior to felling, crown diameter on two axes (maximum and minimum) were measured by stretching a tape between the estimated crown edges as estimated by an observer standing several meters back from the tree.The two crown diameters were averaged to get the mean crown diameter."
"Roberts2003","Biomass"," Total dry mass of woody components (stem, branches, twigs) were determined for each 1 meter section of all destructively sampled trees. Fresh weights were determined in the field, subsamples were taken, dried, and weighed to determine total dry mass of each component."
"Roberts2003","Traits"," Height to the base of the live crown was determined prior to felling by using a clinometer to measure the height to the lowest branches in the predominant crown, i.e., disregarding individual branches that occasionally occur well below the majority of the live crown. Crown length was determined by subtracting the height to base of live crown from the total height of the tree. Crown volume was determined from crown projection area and crown length using the formula for a cone (1/3 * CPA * CRLEN). Height to mid-crown was taken as the distance from stem breast height (1.37 m) to the vertical center of leaf area, was calculated as ((HT - (0.56 * CRLEN)) - 1.37)."
"Roberts2003","Growth environment"," PU"
"Roberts2003","Other","Addtional data is available from S Roberts upon request. This includes all the field measurements from each 1-meter section (foliage, branch, and stem masses) as well as the subsample weights, fresh weight:dry weight ratios, specific leaf areas, etc."
"Roberts2003","Year collected","1999"
"Roberts2004","Sampling strategy"," From the crowns of harvested trees, all live branches were removed from each 1-meter section and separated into current year foliage and subtending twigs, and previous year?s foliage and twigs. The total fresh weight of each of the components was recorded. A random subsample of each component was weighed fresh and retained for laboratory analysis. Approximately 20 needle fascicles from both current-year and second-year foliage were collected from each crown section and returned to the lab for determination of specific leaf area (SLA). In the laboratory, subsamples were dried to a constant weight and weighed to determine fresh mass:dry mass ratios for each component in each section. Foliage was separated from twigs to determine foliage mass:wood mass ratios for each component in each section. "
"Roberts2004","Leaf area"," Leaf area was not estimated"
"Roberts2004","Stem cross sectional area","Stem cross sectional areas were determined from stem diameters taken at stump height (0.3 m), 1 m, 1.37 m, and every 1 m interval up the stem. Stem diameters were measured using a diameter tape."
"Roberts2004","Height","Stem heights were measured on standing trees prior to felling using a clinometer to measure from the base of the stem to the tallest point on the stem. Stem height was measured again after felling by stretching a tape along the length of the stem."
"Roberts2004","Crown area","Crown projection area (CPA), the horizontal area of crown coverage, was calculated as the area of a circle with a diameter equal to mean crown width. Prior to felling, crown diameter on two axes (maximum and minimum) were measured by stretching a tape between the estimated crown edges as estimated by an observer standing several meters back from the tree.The two crown diameters were averaged to get the mean crown diameter."
"Roberts2004","Biomass","Total dry mass of woody components (stem, branches, twigs) were determined for each 1 meter section of all destructively sampled trees. Fresh weights were determined in the field, subsamples were taken, dried at 80oC, and weighed to determine total dry mass of each component."
"Roberts2004","Traits","Height to the base of the live crown was determined prior to felling by using a clinometer to measure the height to the lowest branches in the predominant crown, i.e., disregarding individual branches that occassionally occur well below the majority of the live crown. Crown length was determined by subtracting the height to base of live crown from the total height of the tree."
"Roberts2004","Year collected","2001"
"Rodriguez2003","Sampling strategy"," In permanent plots, diameter at breast height was measured in all trees to obtain diametric amplitude in each treatment. The trees of each treatment were then divided into three equal amplitude classes, representing the intermediate, codominant and dominant crown classes. For each treatment and crown classes, three trees were selected randomly. This gives nine trees per treatment, making a total of 36 trees in the entire sample."
